Hospital_Name,City,State,ZIP_Code,County,Hospital_Type,Ownership,Emergency_Services,Uses_EHR,Overall_Rating
MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,True,,3.0
WEDOWEE HOSPITAL,WEDOWEE,AL,36278,RANDOLPH,Acute Care Hospitals,Government - Hospital District or Authority,True,,4.0
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,35801,MADISON,Acute Care Hospitals,Proprietary,True,,3.0
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,Acute Care Hospitals,Voluntary non-profit - Church,True,,3.0
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99559,BETHEL,Acute Care Hospitals,Tribal,True,,3.0
KANAKANAK HOSPITAL,DILLINGHAM,AK,99576,DILLINGHAM,Critical Access Hospitals,Voluntary non-profit - Private,True,,
MANIILAQ HEALTH CENTER,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,Critical Access Hospitals,Tribal,True,,
FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,86504,APACHE,Acute Care Hospitals,Government - Federal,True,,
TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,86045,COCONINO,Acute Care Hospitals,Voluntary non-profit - Other,False,,3.0
SELLS INDIAN HEALTH SERVICE HOSPITAL,SELLS,AZ,85634,PIMA,Acute Care Hospitals,Government - Federal,False,,
SAN CARLOS APACHE HEALTHCARE,PERIDOT,AZ,85542,GILA,Acute Care Hospitals,Government - Federal,False,,
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,86503,APACHE,Acute Care Hospitals,Government - Federal,True,,2.0
CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,72205,PULASKI,Acute Care Hospitals,Voluntary non-profit - Private,True,,2.0
HOPI HEALTH CARE CENTER,POLACCA,AZ,86042,NAVAJO,Critical Access Hospitals,Tribal,False,,
SAGE MEMORIAL HOSPITAL,GANADO,AZ,86505,APACHE,Critical Access Hospitals,Voluntary non-profit - Private,False,,
CHI ST VINCENT MORRILTON,MORRILTON,AR,72110,CONWAY,Critical Access Hospitals,Voluntary non-profit - Church,True,,
CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,71653,CHICOT,Critical Access Hospitals,Voluntary non-profit - Private,True,,3.0
SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,92220,RIVERSIDE,Acute Care Hospitals,Government - Hospital District or Authority,True,,3.0
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,SAN FRANCISCO,CA,94110,SAN FRANCISCO,Acute Care Hospitals,Voluntary non-profit - Church,True,,2.0
