Hospital_Name,City,State,Hospital_Type,Status,Population,County,Country
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,WESTLAKE VILAGE,CA,GENERAL ACUTE CARE,OPEN,40,VENTURA,USA
EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,CA,GENERAL ACUTE CARE,OPEN,127,LOS ANGELES,USA
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD,CA,GENERAL ACUTE CARE,OPEN,100,LOS ANGELES,USA
KINDRED HOSPITAL BALDWIN PARK,BALDWIN PARK,CA,GENERAL ACUTE CARE,OPEN,95,LOS ANGELES,USA
LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD,CA,GENERAL ACUTE CARE,OPEN,172,LOS ANGELES,USA
MONROVIA MEMORIAL HOSPITAL,MONROVIA,CA,GENERAL ACUTE CARE,OPEN,49,LOS ANGELES,USA
MONTEREY PARK HOSPITAL,MONTEREY PARK,CA,GENERAL ACUTE CARE,OPEN,101,LOS ANGELES,USA
STAR VIEW ADOLESCENT - P H F,TORRANCE,CA,PSYCHIATRIC,OPEN,16,LOS ANGELES,USA
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,CORONA,CA,GENERAL ACUTE CARE,OPEN,78,RIVERSIDE,USA
MODOC MEDICAL CENTER,ALTURAS,CA,GENERAL ACUTE CARE,OPEN,87,MODOC,USA
SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS,CA,GENERAL ACUTE CARE,OPEN,269,MONTEREY,USA
HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,ORANGE,CA,CHILDREN,OPEN,27,ORANGE,USA
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,TUSTIN,CA,GENERAL ACUTE CARE,OPEN,48,ORANGE,USA
KINDRED HOSPITAL BREA,BREA,CA,GENERAL ACUTE CARE,OPEN,86,ORANGE,USA
KINDRED HOSPITAL WESTMINSTER,WESTMINSTER,CA,GENERAL ACUTE CARE,OPEN,109,ORANGE,USA
KAWEAH DELTA MENTAL HEALTH HOSPITAL,VISALIA,CA,GENERAL ACUTE CARE,OPEN,63,TULARE,USA
DAUTERIVE HOSPITAL,NEW IBERIA,LA,GENERAL ACUTE CARE,OPEN,103,IBERIA,USA
CROCKETT MEDICAL CENTER,CROCKETT,TX,GENERAL ACUTE CARE,OPEN,25,HOUSTON,USA
CENTRAL LOUISIANA STATE HOSPITAL,PINEVILLE,LA,PSYCHIATRIC,OPEN,128,RAPIDES,USA
REEVES MEMORIAL MEDICAL CENTER,BERNICE,LA,GENERAL ACUTE CARE,OPEN,11,UNION,USA
SERENITY SPRINGS SPECIALTY HOSPITAL,FARMERVILLE,LA,PSYCHIATRIC,OPEN,18,UNION,USA
RIVERBRIDGE SPECIALTY HOSPITAL,VIDALIA,LA,LONG TERM CARE,OPEN,40,CONCORDIA,USA
CITIZENS MEDICAL CENTER,COLUMBIA,LA,GENERAL ACUTE CARE,OPEN,40,CALDWELL,USA
COLLEGE MEDICAL CENTER,LONG BEACH,CA,GENERAL ACUTE CARE,OPEN,121,LOS ANGELES,USA
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,SAN LEANDRO,CA,GENERAL ACUTE CARE,OPEN,216,ALAMEDA,USA
